verse	form	lemma	gold_pos	gold_case_num_gender	ledger_class	kosha_analyses	candidate_class	proposed_action	evidence	decision
1.04	bhīmārjuna-samāḥ	bhīma-arjuna-sama	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: samāḥ	
1.09	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: praharaṇāḥ	
1.10	bhīṣmābhirakṣitam	bhīṣma-abhi-rakṣita	nominal	nom/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: bhīṣmābhirakṣitam	
1.10	bhīmābhirakṣitam	bhīma-abhi-rakṣita	nominal	nom/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: bhīmābhirakṣitam	
1.12	harṣaṁ	harṣa	nominal	acc/sg/m	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: harṣam	
1.13	paṇavānaka-gomukhāḥ	paṇava-ānaka-gomukha	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: gomukhāḥ	
1.16	kuntī-putraḥ	kuntī-putra	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: putraḥ	
1.16	sughoṣa-maṇi-puṣpakau	su-ghoṣa-maṇi-puṣpaka	nominal	acc/du/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: puṣpakau	
1.20	śastra-saṁpāte	śastra-saṁpāta	nominal	loc/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁpāte	
1.22	raṇa-samudyame	raṇa-sam-ud-yama	nominal	loc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: samudyame	
1.23	yotsyamānān	yotsyamāna	participle	acc/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
1.23	priya-cikīrṣavaḥ	priya-cikīrṣu	nominal	instr/sg/m	DIVERGE	nom.pl.f;nom.pl.m;voc.pl.f;voc.pl.m	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: gold — kosha's own paradigm of this lemma puts the form in another cell	
1.28	viṣīdan	viṣīdant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
1.33	sukhāni	sukha	nominal	instr/pl/n	DIVERGE	acc.pl.n;nom.pl.n;voc.pl.n	D3_case_mismatch	review: same number, gold case absent — gold mislabel (syncretic ending) OR kosha paradigm cell gap	suspect: gold — kosha's own paradigm of this lemma puts the form in another cell	
1.35	ghnataḥ	ghnant	participle	acc/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
1.38	lobhopahata-cetasaḥ	lobha-upahata-cetas	nominal	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: cetasaḥ	
1.38	kula-kṣaya-kṛtam	kula-kṣaya-kṛta	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kṛtam	
1.39	kula-kṣaya-kṛtam	kula-kṣaya-kṛta	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kṛtam	
1.39	prapaśyadbhiḥ	pra-paśyant	participle	instr/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: prapaśyadbhiḥ	
1.41	adharmābhibhavāt	a-dharma-abhi-bhava	nominal	abl/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: adharmābhibhavāt	
1.41	kula-striyaḥ	kula-strī	nominal	nom/pl/f	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: striyaḥ	
1.43	varṇa-saṁkara-kārakaiḥ	varṇa-saṁkara-kāraka	nominal	instr/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kārakaiḥ	
1.44	utsanna-kula-dharmāṇāṁ	utsanna-kula-dharma	nominal	gen/pl/m	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: dharmāṇām	
1.45	mahat	mahant	nominal	acc/sg/n	DIVERGE	nom.sg.f;voc.sg.f	D3_case_mismatch	review: same number, gold case absent — gold mislabel (syncretic ending) OR kosha paradigm cell gap	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: mahat)	
1.45	rājya-sukha-lobhena	rājya-sukha-lobha	nominal	instr/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: lobhena	
2.01	aśru-pūrṇākulekṣaṇam	aśru-pūrṇa-ākula-īkṣaṇa	nominal	acc/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: pūrṇākulekṣaṇam	
2.01	viṣīdantam	viṣīdant	participle	acc/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.02	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
2.07	kārpaṇya-doṣopahata-svabhāvaḥ	kārpaṇya-doṣa-upahata-svabhāva	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: svabhāvaḥ	
2.07	dharma-saṁmūḍha-cetāḥ	dharma-saṁmūḍha-cetas	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: cetāḥ	
2.10	viṣīdantam	viṣīdant	participle	acc/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.11	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
2.14	śītoṣṇa-sukha-duḥkha-dāḥ	śīta-uṣṇa-sukha-duḥkha-da	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: dāḥ	
2.16	asataḥ	a-sant	participle	gen/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: asataḥ	
2.16	sataḥ	sant	participle	gen/sg/n	DIVERGE	nom.sg.m	D3_case_mismatch	review: same number, gold case absent — gold mislabel (syncretic ending) OR kosha paradigm cell gap	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: sata)	
2.21	kaṁ	kim	nominal	acc/sg/m	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: kam	
