col_a,col_b
upaniṣad,f отдел писания в котором идеть речь о  спасении
upavītam,священный шнурок
kāryam,дело
caraṇaḥ,нога
taḍit,f молния
dṛṣad,f - камень
nirvṛti,"f довольство, счастье"
poṣakaḥ,кормилец
bhūbhṛt,"m царь, гора"
marut,m ветер
yoṣit,f жена
viśvāsaḥ,доверие
vṛtraḥ,"Вритра, N. pr. демона"
śatam,сотня
śarad,"f осень, год"
samidh,f полено
sarit,f река
sahāyaḥ,"товарищ, помощник"
suhṛd,m друг
"kuśala, ā","ловкий, опытный, ученый"
trivṛt,тройной
"durlabha, ā","трудно находимый,  недостижимый"
"bhakta, ā","преданный, верный"
api,"также, даже, хотя, и"
paścāt,"за (Gen.), позади"
vinā,без (In. или Acc.)
